,Parcel calc name,Parcel calc IMOS estimate,Parcel calc concatenated terms,Base cargo IMOS estimate,Top-off cargo IMOS estimate,Voyage sale addr comm(%),Top-off cargo concatenated terms,Base cargo concatenated terms,Voyage sale broker comm(%),Base cargo name,01-12-2022_discount_base,01-01-2023_discount_base,01-02-2023_discount_base,01-12-2022_base price,01-01-2023_base price,01-02-2023_base price,Top-off cargo name,01-12-2022_discount_top off,01-01-2023_discount_top off,01-02-2023_discount_top off,01-12-2022_top off price,01-01-2023_top off price,01-02-2023_top off price,Parcel calc P&L_01-12-2022,Customer price_01-12-2022,Parcel calc P&L_01-01-2023,Customer price_01-01-2023,Parcel calc P&L_01-02-2023,Customer price_01-02-2023,Use cranes load,Load rate(MT/day),Load terms,Load draft(m),Cargo,Load port,Use cranes disch,Discharge rate(MT/day),Discharge terms,Discharge draft(m),Discharge port,Stow factor(cbft/mt),Name,Report
0,45k iron NP Qingdao + 30k SBM Santos Kohsichang,RGE2-08498,41128 IRON ORE+15209 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,sbm Santos 13.30/Kohsichang,-3,-3,-4,45.60018708808287,44.23517878633346,42.54016960137981,286988.73048415687,42.60018708808287,312348.97929814004,41.23517878633346,297965.0642515186,38.54016960137981,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,NA,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
1,ironsoy1,RGE2-08502,41701 IRON ORE+19142 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,sbm Santos 13.30/Kohsichang,-3,-3,-4,45.60018708808287,44.23517878633346,42.54016960137981,181584.12195460126,42.60018708808287,278802.3452461185,41.23517878633346,159026.9048405462,38.54016960137981,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,NA,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
2,ironsoy2,RGE2-08469,49500 IRON ORE+23167 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,sbm Santos 13.30/Kohsichang,-3,-3,-4,45.60018708808287,44.23517878633346,42.54016960137981,-419589.2501146381,42.60018708808287,-258921.06666047452,41.23517878633346,-358497.0283893768,38.54016960137981,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,NA,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
3,ironsoy3,RGE2-08504,49500 IRON ORE+31127 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,sbm Santos 13.30/Kohsichang,-3,-3,-4,45.60018708808287,44.23517878633346,42.54016960137981,-119880.06023801304,42.60018708808287,33632.12429174548,41.23517878633346,-83760.31259387266,38.54016960137981,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,NA,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
4,ironsoy4,RGE2-08516,43500 IRON ORE+60544 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,sbm Santos 13.30/Kohsichang,-3,-3,-4,45.60018708808287,44.23517878633346,42.54016960137981,593498.3147924347,42.60018708808287,689962.3107989195,41.23517878633346,505728.9113967926,38.54016960137981,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,NA,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
5,41 io + 15 maize,RGE2-08544,41206 IRON ORE+15208 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-5,-6,-6,40.020046406385475,38.37189764802819,33.17019477248097,-302171.21891992283,35.020046406385475,-295106.4037998102,32.37189764802819,-438734.0341395859,27.17019477248097,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
6,42 io + 17 maize,RGE2-08545,41813 IRON ORE+17000 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-5,-6,-6,40.020046406385475,38.37189764802819,33.17019477248097,-184636.22811866924,35.020046406385475,-184692.16554634855,32.37189764802819,-344411.1254392719,27.17019477248097,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
7,49.5 io + 23 maize,RGE2-08550,49500 IRON ORE+23241 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-5,-6,-6,40.020046406385475,38.37189764802819,33.17019477248097,-1235334.234111888,35.020046406385475,-1203631.4188228578,32.37189764802819,-1332415.9293826923,27.17019477248097,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
8,49.5 io + 30 maize,RGE2-08551,49500 IRON ORE+30000 SOYABEANMEAL,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-5,-6,-6,40.020046406385475,38.37189764802819,33.17019477248097,-1053022.5914637924,35.020046406385475,-1037115.0290468403,32.37189764802819,-1196609.0949577258,27.17019477248097,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
9,41 io + 15 sbm,RGE2-08542,41206 IRON ORE+15208 SOYABEANMEAL,RGE2-08649,RGE2-08537,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,-2,-1,-1,47.37825610853803,45.58401910739999,40.34229272719039,15000 sbm Santos 13.30/Cai Mep 14.5 (supramax),-5,-6,-6,45.74416657064578,43.79870315141383,37.944430469244665,-245118.79946185206,40.74416657064578,-242575.54570432124,37.79870315141383,-396127.45766320336,31.944430469244665,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,10000,SHINC,14.5,CAI MEP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ CAI MEP,SOYABEANMEAL//VIETNAM
